name,height_in,weight_lbs,reach_in
Eric Shelton,66,125,68
Eric Spicely,73,185,73
Erick Montano,72,170,73
Erick Silva,72,170,74
Ericka Almeida,66,115,68
Erik Koch,70,155,71
Erik Perez,68,135,68
Ernest Chavez,68,145,70
Eryk Anders,73,185,75
Estevan Payan,70,145,72
Evan Dunham,70,155,70
Evan Tanner,72,185,74
Evangelista Santos,70,170,76
Everett Sims,77,260,77
Fabio Maldonado,73,205,75
Fabricio Camoes,70,155,73
Fabricio Werdum,76,231,77
Fedor Emelianenko,72,230,74
Felice Herrig,64,115,65
Felicia Spencer,66,145,68
Felipe Arantes,68,135,73
Felipe Colares,69,135,69
Felipe Olivieri,69,155,72
Felipe Silva,72,155,77
Fernando Bruno,66,145,70
Fernando Gonzalez,69,170,68
Filip Pejic,68,135,70
Forrest Griffin,75,205,77
Forrest Petz,69,170,71
Francimar Barroso,73,205,75
Francis Carmont,75,205,78
Francis Ngannou,76,250,83
Francisco Rivera,68,135,68
Francisco Trevino,69,155,70
Francisco Trinaldo,69,155,70
Frank Camacho,70,170,73
Frank Gomez,70,135,67
Frank Mir,75,264,79
Frank Trigg,69,170,71
Frankie Edgar,66,145,68
Frankie Perez,71,155,73
Frankie Saenz,66,135,66
Fredson Paixao,66,145,66
Fredy Serrano,63,125,65
Gabriel Benitez,68,145,71
Gabriel Gonzaga,74,242,76
Gadzhimurad Antigulov,71,205,70
Galore Bofando,71,170,72
Garett Whiteley,72,155,72
Garreth McLellan,73,185,72
Garrett Gross,69,155,69
Gasan Umalatov,71,170,71
Gavin Tucker,66,145,66
Geane Herrera,65,125,66
Gegard Mousasi,74,185,76
Geoff Neal,71,170,75
George Roop,73,135,72
George Sotiropoulos,70,155,71
George Sullivan,72,170,73
Georges St-Pierre,71,185,76
Gerald Harris,71,185,77
Gerald Meerschaert,73,185,77
Geraldo de Freitas,69,135,72
Germaine de Randamie,69,135,71
Gesias Cavalcante,68,200,71
Gian Villante,75,185,76
Giga Chikadze,72,170,72
Gilbert Burns,70,145,71
Gilbert Melendez,69,155,73
Gilbert Smith,69,225,75
Gilbert Yvel,74,190,77
Gillian Robertson,65,145,63
Gina Mazany,66,135,68
Glaico Franca,72,155,77
Gleison Tibau,70,145,71
Glover Teixeira,74,145,76
Godofredo Pepey,67,145,73
Gokhan Saki,72,205,73
Goran Reljic,75,145,81
Grant Dawson,70,155,72
Gray Maynard,69,265,70
Greg Hardy,77,155,80
Greg Rebello,72,145,73
Greg Soto,71,220,73
Gregor Gillespie,67,183,71
Grigorii Popov,67,135,68
Guido Cannetti,66,185,68
Guilherme Vasconcelos,72,205,74
Gunnar Nelson,71,125,72
Guto Inocente,75,200,77
Hacran Dias,68,145,69
Hakeem Dawodu,68,220,73
Hannah Cifers,61,115,63
